,node,old_label,delta,degree,PrEP_comm
0,711,1096,1.0,27,large
1,2295,1343,1.0,5,large
2,1369,1178,1.0,24,large
3,1188,702,1.0,20,large
4,1193,225,1.0,21,large
5,2119,1858,1.0,7,large
6,1570,1170,1.0,12,large
7,1158,388,1.0,11,large
8,1538,1856,1.0,16,large
9,1421,1578,1.0,19,large
10,989,1069,1.0,8,large
11,1950,1324,1.0,15,large
12,602,1571,1.0,9,large
13,1601,1011,1.0,13,large
14,490,60,1.0,27,large
15,41,239,1.0,21,large
16,872,1683,1.0,11,large
17,1506,919,1.0,12,large
18,1928,1406,1.0,10,large
19,1151,935,1.0,22,large
20,2346,2059,1.0,11,large
21,938,2616,1.0,10,large
22,969,1205,1.0,11,large
23,1877,1052,1.0,22,large
24,162,275,1.0,13,large
25,1634,799,1.0,20,large
26,171,329,1.0,20,large
27,2307,1115,1.0,12,large
28,1004,790,1.0,12,large
29,1539,1327,1.0,7,large
30,1975,575,1.0,9,large
31,577,875,1.0,14,large
32,809,611,1.0,12,large
33,205,1010,1.0,19,large
34,739,416,1.0,18,large
35,796,631,1.0,21,large
36,1942,2150,1.0,17,large
37,988,2075,1.0,25,large
38,1348,315,1.0,17,large
39,1317,663,1.0,7,large
40,2180,1344,1.0,10,large
41,2670,1085,1.0,10,large
42,2310,1437,1.0,6,large
43,760,2186,1.0,10,large
44,884,589,1.0,23,large
45,954,1072,1.0,20,large
46,1869,1169,1.0,8,large
47,1123,521,1.0,17,large
48,1314,2388,1.0,6,large
49,1040,698,1.0,14,large
50,2143,1814,1.0,4,small
51,291,1908,1.0,5,small
52,743,1919,1.0,4,small
53,253,1224,1.0,4,small
54,1801,1048,1.0,4,small
55,1827,2714,1.0,3,small
56,1281,1160,1.0,4,small
57,670,1503,1.0,4,small
58,2651,1441,1.0,3,small
59,13,2575,1.0,4,small
60,527,1480,1.0,6,small
61,2451,1570,1.0,3,small
62,2844,1793,1.0,3,small
63,2481,1522,1.0,2,small
64,2618,1424,1.0,5,small
65,567,1076,1.0,4,small
66,1983,2613,1.0,5,small
67,1390,2577,1.0,5,small
68,2611,926,1.0,3,small
69,2595,2596,1.0,5,small
70,2765,2600,1.0,3,small
71,2483,925,1.0,7,small
72,923,1520,1.0,4,small
73,1415,776,1.0,3,small
74,1623,1149,1.0,5,small
75,2546,1920,1.0,4,small
76,2759,1739,1.0,5,small
77,2581,1946,1.0,3,small
78,2169,1868,1.0,4,small
79,1385,1262,1.0,4,small
80,709,1528,1.0,4,small
81,1613,1515,1.0,2,small
82,2398,2744,1.0,3,small
83,2606,1603,1.0,3,small
84,2002,494,1.0,5,small
85,2594,1517,1.0,2,small
86,1947,2591,1.0,4,small
87,1417,1801,1.0,4,small
88,2748,1898,1.0,3,small
89,2327,2912,1.0,4,small
90,2781,1499,1.0,3,small
91,259,2846,1.0,5,small
92,1920,1531,1.0,4,small
93,2101,2533,1.0,5,small
94,2200,470,1.0,3,small
95,2447,2503,1.0,3,small
96,1018,1212,1.0,7,small
97,2094,1107,1.0,10,small
98,2839,1792,1.0,5,small
99,2735,1764,1.0,5,small
