,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,953
1,0.7834572483941186,2951,0,0,1,0,0,0,0,0,0,0,0,0,953
2,0.9972959193684967,2950,1,0,1,0,0,0,0,0,0,0,0,0,1157
3,1.0451982406106637,2950,0,0,2,0,0,0,0,0,0,0,0,0,1157
4,1.0622555923630177,2949,1,0,2,0,0,0,0,0,0,0,0,0,1545
5,1.15276964926644,2948,2,0,2,0,0,0,0,0,0,0,0,0,2442
6,1.275394104150301,2947,3,0,2,0,0,0,0,0,0,0,0,0,2168
7,1.5237788901705085,2946,4,0,2,0,0,0,0,0,0,0,0,0,982
8,1.6245984254270014,2945,5,0,2,0,0,0,0,0,0,0,0,0,2081
9,1.6554505430985205,2945,4,1,2,0,0,0,0,0,0,0,0,0,2081
10,1.6571229799182736,2944,5,1,2,0,0,0,0,0,0,0,0,0,1370
11,1.8021045600417456,2944,5,0,2,1,0,0,0,0,0,0,0,0,2081
12,1.8946478237707884,2944,5,0,1,1,1,0,0,0,0,0,0,0,953
13,1.8997834432683756,2943,6,0,1,1,1,0,0,0,0,0,0,0,2022
14,1.9204061003630926,2943,6,0,0,1,2,0,0,0,0,0,0,0,1157
15,1.9316353586908679,2943,5,1,0,1,2,0,0,0,0,0,0,0,2442
16,1.9492595581118055,2943,4,1,1,1,2,0,0,0,0,0,0,0,982
17,1.9660861636199864,2943,4,1,0,1,2,0,0,0,0,1,0,0,982
18,1.9773505287152373,2944,4,1,0,1,2,0,0,0,0,0,0,0,982
19,2.110407391476433,2943,5,1,0,1,2,0,0,0,0,0,0,0,1686
20,2.228251765537576,2943,4,2,0,1,2,0,0,0,0,0,0,0,2022
21,2.403891776665736,2942,5,2,0,1,2,0,0,0,0,0,0,0,783
22,2.4264414458630634,2941,6,2,0,1,2,0,0,0,0,0,0,0,713
23,2.448634944015009,2940,7,2,0,1,2,0,0,0,0,0,0,0,1912
24,2.533181461126704,2939,8,2,0,1,2,0,0,0,0,0,0,0,890
25,2.5499019800840776,2939,7,3,0,1,2,0,0,0,0,0,0,0,1686
26,2.5605057380809098,2939,7,3,0,1,1,0,0,0,0,1,0,0,1157
27,2.575200444518588,2938,8,3,0,1,1,0,0,0,0,1,0,0,529
28,2.639174782577605,2937,9,3,0,1,1,0,0,0,0,1,0,0,365
29,2.8340435613449664,2936,10,3,0,1,1,0,0,0,0,1,0,0,2380
30,2.9070635050755484,2935,11,3,0,1,1,0,0,0,0,1,0,0,1088
31,3.048650799010935,2935,10,4,0,1,1,0,0,0,0,1,0,0,890
32,3.077414262441513,2934,11,4,0,1,1,0,0,0,0,1,0,0,1409
33,3.1145563773111142,2933,12,4,0,1,1,0,0,0,0,1,0,0,2480
34,3.1656743199234945,2934,12,4,0,1,1,0,0,0,0,0,0,0,1157
35,3.168666528415252,2934,12,3,0,2,1,0,0,0,0,0,0,0,1686
36,3.2433152943973758,2934,12,3,0,2,0,0,0,0,0,1,0,0,953
37,3.244654002705491,2935,12,3,0,2,0,0,0,0,0,0,0,0,953
38,3.346278251328904,2935,11,4,0,2,0,0,0,0,0,0,0,0,1545
39,3.390974274522387,2935,10,5,0,2,0,0,0,0,0,0,0,0,783
40,3.4376112655051148,2935,9,6,0,2,0,0,0,0,0,0,0,0,1912
41,3.443199768902294,2935,8,6,1,2,0,0,0,0,0,0,0,0,365
42,3.5085027722981965,2935,8,5,1,3,0,0,0,0,0,0,0,0,783
43,3.508708708975067,2935,8,4,1,4,0,0,0,0,0,0,0,0,890
44,3.5257020136742754,2935,7,4,2,4,0,0,0,0,0,0,0,0,1088
45,3.5295452148057023,2934,8,4,2,4,0,0,0,0,0,0,0,0,1531
46,3.5401339497678,2933,9,4,2,4,0,0,0,0,0,0,0,0,2416
47,3.6387384107515675,2933,8,4,3,4,0,0,0,0,0,0,0,0,1531
48,3.682401147743789,2933,8,3,3,5,0,0,0,0,0,0,0,0,2442
49,3.73219300035174,2932,9,3,3,5,0,0,0,0,0,0,0,0,1315
50,3.7714021939137905,2931,10,3,3,5,0,0,0,0,0,0,0,0,11
51,3.8165910203953333,2931,10,3,2,5,0,0,0,0,0,1,0,0,365
52,3.824427453812446,2931,9,4,2,5,0,0,0,0,0,1,0,0,1409
53,3.865371641018,2930,10,4,2,5,0,0,0,0,0,1,0,0,768
54,3.9264394882825338,2929,11,4,2,5,0,0,0,0,0,1,0,0,226
55,3.9423608044463267,2929,11,4,2,4,0,1,0,0,0,1,0,0,2442
56,3.972798745771248,2928,12,4,2,4,0,1,0,0,0,1,0,0,1448
57,3.9874543230339925,2927,13,4,2,4,0,1,0,0,0,1,0,0,339
58,3.988530004425453,2927,13,4,1,4,1,1,0,0,0,1,0,0,1531
59,4.026549452984016,2928,13,4,1,4,1,1,0,0,0,0,0,0,365
60,4.043020918644909,2927,14,4,1,4,1,1,0,0,0,0,0,0,2106
61,4.045263029411081,2926,15,4,1,4,1,1,0,0,0,0,0,0,877
62,4.076053007012018,2926,15,3,1,5,1,1,0,0,0,0,0,0,1912
63,4.118882838119209,2926,14,4,1,5,1,1,0,0,0,0,0,0,713
64,4.123908544846314,2925,15,4,1,5,1,1,0,0,0,0,0,0,618
65,4.125061866733213,2925,14,5,1,5,1,1,0,0,0,0,0,0,226
66,4.1891033018129695,2924,15,5,1,5,1,1,0,0,0,0,0,0,229
67,4.22779300190172,2924,14,5,2,5,1,1,0,0,0,0,0,0,229
68,4.240274126571457,2923,15,5,2,5,1,1,0,0,0,0,0,0,926
69,4.249427944442184,2923,14,6,2,5,1,1,0,0,0,0,0,0,1315
70,4.250645627081906,2922,15,6,2,5,1,1,0,0,0,0,0,0,2572
71,4.3313376041092635,2921,16,6,2,5,1,1,0,0,0,0,0,0,1160
72,4.336611635144372,2920,17,6,2,5,1,1,0,0,0,0,0,0,191
73,4.368175764539939,2919,18,6,2,5,1,1,0,0,0,0,0,0,824
74,4.379845928005531,2918,19,6,2,5,1,1,0,0,0,0,0,0,296
75,4.419454480892766,2918,18,7,2,5,1,1,0,0,0,0,0,0,2416
76,4.43251723513186,2917,19,7,2,5,1,1,0,0,0,0,0,0,1072
