,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2951,1,0,0,0,0,0,0,0,0,0,0,0,953
1,2.12792014318955,2951,0,0,1,0,0,0,0,0,0,0,0,0,953
2,4.804808987647512,2950,1,0,1,0,0,0,0,0,0,0,0,0,1901
3,5.1120176805385595,2950,0,1,1,0,0,0,0,0,0,0,0,0,1901
4,5.264911060504929,2950,0,0,1,0,0,0,0,0,0,1,0,0,1901
5,5.298294346541746,2951,0,0,1,0,0,0,0,0,0,0,0,0,1901
6,5.468067781863713,2950,1,0,1,0,0,0,0,0,0,0,0,0,2052
7,5.7180338883828,2950,1,0,0,0,1,0,0,0,0,0,0,0,953
8,5.811007901795268,2949,2,0,0,0,1,0,0,0,0,0,0,0,982
9,5.917166024789354,2949,1,0,1,0,1,0,0,0,0,0,0,0,982
10,6.107091271605383,2948,2,0,1,0,1,0,0,0,0,0,0,0,371
11,6.110287977404748,2947,3,0,1,0,1,0,0,0,0,0,0,0,1067
12,6.2953072834334245,2947,2,0,2,0,1,0,0,0,0,0,0,0,371
13,6.328929470483654,2947,2,0,1,0,2,0,0,0,0,0,0,0,371
14,6.415995868365986,2947,2,0,0,0,3,0,0,0,0,0,0,0,982
15,6.676019087204438,2947,2,0,0,0,2,0,1,0,0,0,0,0,371
16,6.837528083936881,2947,1,1,0,0,2,0,1,0,0,0,0,0,2052
17,7.0605223310524705,2946,2,1,0,0,2,0,1,0,0,0,0,0,2678
18,7.538693532693231,2946,2,1,0,0,2,0,0,0,0,0,1,0,371
19,7.922756591797622,2947,2,1,0,0,2,0,0,0,0,0,0,0,371
20,8.178093200957006,2946,3,1,0,0,2,0,0,0,0,0,0,0,2168
21,8.344281645848147,2946,3,1,0,0,1,0,0,0,0,1,0,0,982
22,8.396309579878974,2947,3,1,0,0,1,0,0,0,0,0,0,0,982
23,8.454966753051766,2947,3,0,0,1,1,0,0,0,0,0,0,0,2052
24,8.698638192994009,2947,2,1,0,1,1,0,0,0,0,0,0,0,2678
25,8.702026645810744,2946,3,1,0,1,1,0,0,0,0,0,0,0,982
26,8.736049037257597,2945,4,1,0,1,1,0,0,0,0,0,0,0,686
27,8.8915655346946,2945,4,0,0,2,1,0,0,0,0,0,0,0,2678
28,8.900393155209334,2945,3,1,0,2,1,0,0,0,0,0,0,0,1067
29,8.989864641107168,2945,2,1,1,2,1,0,0,0,0,0,0,0,982
30,8.992415826982812,2945,2,1,1,1,1,0,0,0,0,1,0,0,2678
31,9.16453652875793,2945,2,1,0,1,1,0,0,0,0,2,0,0,982
32,9.177347215497647,2946,2,1,0,1,1,0,0,0,0,1,0,0,982
33,9.328095241587992,2947,2,1,0,1,1,0,0,0,0,0,0,0,2678
34,9.393783239386458,2947,1,1,1,1,1,0,0,0,0,0,0,0,686
35,9.396162292007558,2947,1,1,0,1,1,0,0,0,0,1,0,0,686
36,9.65051268914212,2946,2,1,0,1,1,0,0,0,0,1,0,0,884
37,9.704947379096362,2946,2,0,0,2,1,0,0,0,0,1,0,0,1067
38,9.730672360107162,2946,1,1,0,2,1,0,0,0,0,1,0,0,2168
39,9.882446207935764,2945,2,1,0,2,1,0,0,0,0,1,0,0,715
40,9.912704765768565,2946,2,1,0,2,1,0,0,0,0,0,0,0,686
41,10.123015423644537,2945,3,1,0,2,1,0,0,0,0,0,0,0,1744
42,10.376462859507216,2945,3,1,0,1,1,1,0,0,0,0,0,0,1067
43,10.62568762192055,2945,2,1,1,1,1,1,0,0,0,0,0,0,715
44,10.676529878054298,2945,2,1,0,1,2,1,0,0,0,0,0,0,715
45,10.795439837708422,2944,3,1,0,1,2,1,0,0,0,0,0,0,2253
46,11.080500067917658,2944,2,2,0,1,2,1,0,0,0,0,0,0,1744
47,11.152808808516184,2944,2,2,0,1,1,1,1,0,0,0,0,0,715
48,11.18223483974537,2944,2,1,0,2,1,1,1,0,0,0,0,0,1744
49,11.274849103510784,2943,3,1,0,2,1,1,1,0,0,0,0,0,1941
50,11.6562636190616,2943,2,2,0,2,1,1,1,0,0,0,0,0,1941
51,11.717741959177967,2943,1,2,1,2,1,1,1,0,0,0,0,0,884
