,node,n,treat,type_tr,type_no_tr
0,1157,15,PrEP,large,large
1,1545,1,No_PrEP,large,large
2,2442,1,No_PrEP,large,large
3,2168,1,No_PrEP,large,large
4,982,13,PrEP,large,large
5,2081,4,No_PrEP,large,large
6,1370,1,No_PrEP,large,large
7,2022,1,No_PrEP,large,large
8,1686,1,No_PrEP,large,large
9,783,1,No_PrEP,large,large
10,713,1,No_PrEP,large,large
11,1912,1,No_PrEP,large,large
12,890,4,No_PrEP,large,large
13,529,2,No_PrEP,large,large
14,365,12,PrEP,large,large
15,2380,7,PrEP,large,large
16,1088,5,PrEP,large,large
17,1409,1,No_PrEP,large,large
18,2480,4,PrEP,large,large
19,1531,13,PrEP,large,large
20,2416,3,No_PrEP,large,large
21,1315,1,No_PrEP,large,large
22,11,2,No_PrEP,large,large
23,768,4,No_PrEP,large,large
24,226,5,No_PrEP,large,large
25,1448,6,PrEP,large,large
26,339,12,PrEP,large,large
27,2106,6,PrEP,large,large
28,877,8,PrEP,large,large
29,618,2,No_PrEP,large,large
30,229,15,PrEP,large,large
31,926,12,PrEP,large,large
32,2572,2,No_PrEP,large,large
33,1160,1,No_PrEP,large,large
34,191,14,PrEP,large,large
35,824,1,No_PrEP,large,large
36,296,13,PrEP,large,large
37,1072,1,No_PrEP,large,large
38,2922,1,No_PrEP,small,small
39,1946,1,No_PrEP,large,large
40,2123,2,No_PrEP,large,large
41,494,3,No_PrEP,large,large
42,370,5,PrEP,large,large
43,2241,5,PrEP,large,large
44,651,1,No_PrEP,large,large
45,1548,3,No_PrEP,large,large
46,418,11,PrEP,large,large
47,1316,4,No_PrEP,large,large
48,1280,11,PrEP,large,large
49,345,3,No_PrEP,large,large
50,441,1,No_PrEP,large,large
51,2071,2,No_PrEP,large,large
52,782,11,PrEP,large,large
53,200,9,PrEP,large,large
54,2925,1,No_PrEP,small,small
55,64,11,PrEP,large,large
56,649,3,No_PrEP,large,large
57,1040,13,PrEP,large,large
58,1444,8,PrEP,large,large
59,1638,6,PrEP,large,large
60,70,6,PrEP,large,large
61,1167,2,No_PrEP,large,large
62,232,5,PrEP,large,large
63,2114,2,No_PrEP,large,large
64,206,2,No_PrEP,large,large
65,1062,3,No_PrEP,large,large
66,953,11,PrEP,large,large
67,749,6,PrEP,large,large
68,168,2,No_PrEP,large,large
69,2591,2,No_PrEP,large,large
70,1004,12,PrEP,large,large
71,2576,1,No_PrEP,small,small
72,65,10,PrEP,large,large
73,1492,9,PrEP,large,large
74,73,10,PrEP,large,large
75,142,3,No_PrEP,large,large
76,694,8,PrEP,large,large
77,1539,1,No_PrEP,large,large
78,809,1,No_PrEP,large,large
79,221,7,PrEP,large,large
80,863,1,No_PrEP,large,large
81,860,10,PrEP,large,large
82,220,6,PrEP,large,large
83,2,7,PrEP,large,large
84,1284,7,PrEP,large,large
85,1018,9,PrEP,large,large
86,1871,1,No_PrEP,large,large
87,286,4,No_PrEP,large,large
88,1371,1,No_PrEP,large,large
89,941,1,No_PrEP,large,large
90,1738,7,PrEP,large,large
91,330,5,PrEP,large,large
92,608,6,PrEP,large,large
93,2057,3,No_PrEP,large,large
94,108,8,PrEP,large,large
95,981,6,PrEP,large,large
96,1811,8,PrEP,large,large
97,1598,1,No_PrEP,large,large
98,1641,6,PrEP,large,large
99,39,10,PrEP,large,large
100,2751,2,No_PrEP,large,large
101,1748,1,No_PrEP,large,large
102,925,12,PrEP,large,large
103,361,13,PrEP,large,large
104,7,1,No_PrEP,large,large
105,1620,5,PrEP,large,large
106,1321,2,PrEP,large,large
107,873,2,No_PrEP,large,large
108,462,3,No_PrEP,large,large
109,923,12,PrEP,large,large
110,224,5,No_PrEP,large,large
111,1967,5,PrEP,large,large
112,2698,2,No_PrEP,large,large
113,2374,2,No_PrEP,large,large
114,1334,2,No_PrEP,large,large
115,1646,6,PrEP,large,large
116,1668,2,No_PrEP,large,large
117,133,5,No_PrEP,large,large
118,1870,7,PrEP,large,large
119,1730,3,No_PrEP,large,large
120,357,6,PrEP,large,large
121,1865,1,No_PrEP,large,large
122,77,1,No_PrEP,large,large
123,2235,3,No_PrEP,large,large
124,1695,1,No_PrEP,large,large
125,2601,1,No_PrEP,large,large
126,901,1,No_PrEP,large,large
127,1706,16,PrEP,large,large
128,1286,4,No_PrEP,large,large
129,68,1,No_PrEP,large,large
130,936,4,No_PrEP,large,large
131,1998,6,PrEP,large,large
132,69,3,No_PrEP,large,large
133,140,1,No_PrEP,large,large
134,2934,1,No_PrEP,large,large
135,1114,8,PrEP,large,large
