,node,n,treat,type_tr,type_no_tr
0,1901,3,No_PrEP,large,large
1,2052,1,No_PrEP,large,large
2,982,4,PrEP,large,large
3,371,9,PrEP,large,large
4,1067,1,No_PrEP,large,large
5,2678,1,No_PrEP,small,small
6,2168,4,No_PrEP,large,large
7,686,3,PrEP,large,large
8,884,10,PrEP,large,large
9,715,2,PrEP,large,large
10,1744,4,No_PrEP,large,large
11,2253,3,No_PrEP,large,large
12,1941,2,No_PrEP,large,large
13,196,4,No_PrEP,large,large
14,1414,2,No_PrEP,large,large
15,1403,4,PrEP,large,large
16,1283,4,PrEP,large,large
17,1157,8,PrEP,large,large
18,1731,1,No_PrEP,large,large
19,201,3,PrEP,large,large
20,1465,3,No_PrEP,large,large
21,583,3,No_PrEP,large,large
22,1389,6,PrEP,large,large
23,489,3,No_PrEP,large,large
24,356,3,No_PrEP,large,large
25,1349,3,No_PrEP,large,large
26,944,2,No_PrEP,large,large
27,990,5,No_PrEP,large,large
28,958,1,PrEP,large,large
29,916,1,No_PrEP,large,large
30,597,2,No_PrEP,large,large
31,2225,4,No_PrEP,large,large
32,811,5,No_PrEP,large,large
33,1892,5,PrEP,large,large
34,2131,2,PrEP,large,large
35,1075,4,No_PrEP,large,large
36,1610,2,No_PrEP,large,large
37,2761,2,No_PrEP,large,large
38,2603,1,PrEP,large,large
39,911,3,PrEP,large,large
40,448,5,PrEP,large,large
41,2541,4,No_PrEP,large,large
42,238,8,PrEP,large,large
43,1311,2,No_PrEP,large,large
44,1541,4,PrEP,large,large
45,1305,7,PrEP,large,large
46,651,4,No_PrEP,large,large
47,1925,1,No_PrEP,large,large
48,125,5,PrEP,large,large
49,1553,1,No_PrEP,large,large
50,539,1,No_PrEP,large,large
51,50,6,No_PrEP,large,large
52,2179,1,PrEP,large,large
53,1062,2,No_PrEP,large,large
54,1226,5,No_PrEP,large,large
55,876,2,No_PrEP,large,large
56,405,3,No_PrEP,large,large
57,1549,1,No_PrEP,large,large
58,1040,10,PrEP,large,large
59,1458,4,PrEP,large,large
60,105,3,No_PrEP,large,large
61,535,3,PrEP,large,large
62,2492,2,No_PrEP,large,large
63,1200,1,No_PrEP,large,large
64,1677,3,PrEP,large,large
65,1866,2,No_PrEP,large,large
66,5,1,No_PrEP,large,large
67,1719,4,No_PrEP,large,large
68,1329,5,No_PrEP,large,large
69,2162,2,PrEP,large,large
70,2164,1,PrEP,large,large
71,1374,2,No_PrEP,large,large
72,629,3,No_PrEP,large,large
73,21,3,No_PrEP,large,large
74,1068,2,No_PrEP,large,large
75,1234,4,PrEP,large,large
76,1502,4,No_PrEP,large,large
77,294,1,PrEP,large,large
78,1327,1,No_PrEP,large,large
79,1623,1,No_PrEP,large,large
80,331,3,No_PrEP,large,large
81,2194,1,PrEP,large,large
82,277,4,No_PrEP,large,large
83,977,5,No_PrEP,large,large
84,1419,3,No_PrEP,large,large
85,345,2,No_PrEP,large,large
86,925,5,PrEP,large,large
87,1955,1,No_PrEP,large,large
88,2549,2,PrEP,small,large
89,2442,3,No_PrEP,large,large
90,794,3,No_PrEP,large,large
91,2012,1,No_PrEP,large,large
92,1437,5,No_PrEP,large,large
93,829,3,No_PrEP,large,large
94,732,3,No_PrEP,large,large
95,255,1,No_PrEP,large,large
96,52,2,PrEP,large,large
97,1118,10,PrEP,large,large
98,2345,2,PrEP,large,large
