,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2960,1,0,0,0,0,0,0,0,0,0,0,0,711
1,2.447500918323165,2960,0,0,1,0,0,0,0,0,0,0,0,0,711
2,2.474558160151856,2959,1,0,1,0,0,0,0,0,0,0,0,0,448
3,2.605166651654037,2959,0,1,1,0,0,0,0,0,0,0,0,0,448
4,2.7398492926470714,2959,0,1,0,0,1,0,0,0,0,0,0,0,711
5,3.2642576788183444,2959,0,0,0,0,1,0,0,0,0,1,0,0,448
6,3.312019529225463,2960,0,0,0,0,1,0,0,0,0,0,0,0,448
7,3.4622909339920205,2959,1,0,0,0,1,0,0,0,0,0,0,0,139
8,3.8441264557668835,2959,0,1,0,0,1,0,0,0,0,0,0,0,139
9,3.898346584855957,2959,0,0,0,1,1,0,0,0,0,0,0,0,139
10,4.20664900115147,2959,0,0,0,0,1,0,0,0,0,1,0,0,139
11,4.420314550255761,2959,0,0,0,0,0,0,1,0,0,1,0,0,711
