,network,scenario,duration,outbreak_type,equilibria,E0,delta,degree,PrEP_comm_type,no_PrEP_comm_type
0,1,_prep_ic_prep,0.7280832550078926,small,0.011257458065968706,711,1.0,27,large,large
1,1,_prep_ic_prep,9.933056335396648,large,0.07251127401315136,711,1.0,27,large,large
2,1,_prep_ic_prep,1.890889446784934,small,0.011257458065968706,711,1.0,27,large,large
3,1,_prep_ic_prep,9.995363794185712,large,0.21851014758816178,711,1.0,27,large,large
4,1,_prep_ic_prep,9.986328265690856,large,0.08970786896318812,711,1.0,27,large,large
5,1,_prep_ic_prep,6.434484046792948,large,0.052534804307853955,711,1.0,27,large,large
6,1,_prep_ic_prep,1.383332986317213,small,0.011257458065968706,711,1.0,27,large,large
7,1,_prep_ic_prep,9.87087873006821,large,0.0541928795268726,711,1.0,27,large,large
8,1,_prep_ic_prep,4.420314550255761,small,0.03940110323089047,711,1.0,27,large,large
9,1,_prep_ic_prep,0.2692654556876411,small,0.011257458065968706,711,1.0,27,large,large
10,2,_prep_ic_prep,3.492424430457956,small,0.01129177958446251,110,1.0,7,large,large
11,2,_prep_ic_prep,2.272640680203406,small,0.016937669376693765,110,1.0,7,large,large
12,2,_prep_ic_prep,9.671642584760274,large,0.07276924621098063,110,1.0,7,large,large
13,2,_prep_ic_prep,3.234386259789785,small,0.016937669376693765,110,1.0,7,large,large
14,2,_prep_ic_prep,9.988411110819913,large,0.14060585811337564,110,1.0,7,large,large
15,2,_prep_ic_prep,1.0807415406903866,small,0.01129177958446251,110,1.0,7,large,large
16,2,_prep_ic_prep,1.6406628808950685,small,0.01129177958446251,110,1.0,7,large,large
17,2,_prep_ic_prep,2.2693750257997727,small,0.016937669376693765,110,1.0,7,large,large
18,2,_prep_ic_prep,0.351353702038009,small,0.01129177958446251,110,1.0,7,large,large
19,2,_prep_ic_prep,0.3307797948075057,small,0.016937669376693765,110,1.0,7,large,large
