,comm,size,n_trt,prop
0,1.0,2522.0,651.0,0.258
1,2.0,7.0,2.0,0.286
2,3.0,4.0,2.0,0.5
3,5.0,4.0,1.0,0.25
4,6.0,3.0,1.0,0.333
5,9.0,2.0,1.0,0.5
6,10.0,2.0,1.0,0.5
7,11.0,2.0,1.0,0.5
8,12.0,2.0,1.0,0.5
9,13.0,2.0,1.0,0.5
10,14.0,2.0,1.0,0.5
11,15.0,2.0,1.0,0.5
12,16.0,2.0,1.0,0.5
13,17.0,2.0,1.0,0.5
14,18.0,2.0,1.0,0.5
15,19.0,2.0,1.0,0.5
16,20.0,2.0,1.0,0.5
17,21.0,2.0,1.0,0.5
18,22.0,2.0,1.0,0.5
19,23.0,2.0,1.0,0.5
20,24.0,2.0,1.0,0.5
21,25.0,2.0,1.0,0.5
22,26.0,2.0,1.0,0.5
23,43.0,1.0,1.0,1.0
24,44.0,1.0,1.0,1.0
25,45.0,1.0,1.0,1.0
26,46.0,1.0,1.0,1.0
27,47.0,1.0,1.0,1.0
28,48.0,1.0,1.0,1.0
29,49.0,1.0,1.0,1.0
30,50.0,1.0,1.0,1.0
31,51.0,1.0,1.0,1.0
32,52.0,1.0,1.0,1.0
33,53.0,1.0,1.0,1.0
34,54.0,1.0,1.0,1.0
35,55.0,1.0,1.0,1.0
36,56.0,1.0,1.0,1.0
37,57.0,1.0,1.0,1.0
38,58.0,1.0,1.0,1.0
39,59.0,1.0,1.0,1.0
40,60.0,1.0,1.0,1.0
41,61.0,1.0,1.0,1.0
42,62.0,1.0,1.0,1.0
43,63.0,1.0,1.0,1.0
44,64.0,1.0,1.0,1.0
45,65.0,1.0,1.0,1.0
46,66.0,1.0,1.0,1.0
47,67.0,1.0,1.0,1.0
48,68.0,1.0,1.0,1.0
49,69.0,1.0,1.0,1.0
50,70.0,1.0,1.0,1.0
51,71.0,1.0,1.0,1.0
52,72.0,1.0,1.0,1.0
53,73.0,1.0,1.0,1.0
54,74.0,1.0,1.0,1.0
55,75.0,1.0,1.0,1.0
56,76.0,1.0,1.0,1.0
57,77.0,1.0,1.0,1.0
58,78.0,1.0,1.0,1.0
59,79.0,1.0,1.0,1.0
60,80.0,1.0,1.0,1.0
61,81.0,1.0,1.0,1.0
62,82.0,1.0,1.0,1.0
63,83.0,1.0,1.0,1.0
64,84.0,1.0,1.0,1.0
65,85.0,1.0,1.0,1.0
66,86.0,1.0,1.0,1.0
67,87.0,1.0,1.0,1.0
68,88.0,1.0,1.0,1.0
69,107.0,2.0,0.0,0.0
70,110.0,2.0,0.0,0.0
