,node,treat,degree,size_comm_tr,size_comm_no_tr,old_label,type_comm_tr,type_comm_no_tr
0,1,NoTr,6,2522,2604,1,large,large
1,2,Tr,16,2522,2604,2,large,large
2,3,Tr,21,2522,2604,3,large,large
3,4,NoTr,8,2522,2604,4,large,large
4,5,NoTr,6,2522,2604,5,large,large
5,6,NoTr,5,2522,2604,6,large,large
6,7,NoTr,22,2522,2604,7,large,large
7,8,Tr,14,2522,2604,56,large,large
8,9,NoTr,21,2522,2604,113,large,large
9,10,NoTr,14,2522,2604,77,large,large
10,11,NoTr,24,2522,2604,114,large,large
11,12,NoTr,16,2522,2604,115,large,large
12,13,Tr,36,2522,2604,116,large,large
13,14,NoTr,17,2522,2604,117,large,large
14,15,Tr,19,2522,2604,118,large,large
15,16,NoTr,27,2522,2604,119,large,large
16,17,NoTr,1,1,1,120,small,small
17,18,Tr,23,2522,2604,121,large,large
18,19,NoTr,9,2522,2604,122,large,large
19,20,Tr,18,2522,2604,123,large,large
20,21,NoTr,18,2522,2604,124,large,large
21,22,NoTr,18,2522,2604,125,large,large
22,23,NoTr,23,2522,2604,738,large,large
23,24,NoTr,13,2522,2604,1137,large,large
24,25,NoTr,6,2522,2604,1734,large,large
25,26,Tr,21,2522,2604,1157,large,large
26,27,Tr,3,1,2604,2611,small,large
27,28,Tr,16,2522,2604,2344,large,large
28,29,NoTr,11,2522,2604,1130,large,large
29,30,Tr,25,2522,2604,200,large,large
30,31,NoTr,13,2522,2604,1469,large,large
31,32,NoTr,10,2522,2604,2132,large,large
32,33,NoTr,10,2522,2604,1839,large,large
33,34,NoTr,16,2522,2604,779,large,large
34,35,NoTr,9,2522,2604,1924,large,large
35,36,NoTr,20,2522,2604,890,large,large
36,37,NoTr,7,2522,2604,2525,large,large
37,38,NoTr,3,2522,2604,2651,large,large
38,39,Tr,30,2522,2604,383,large,large
39,40,NoTr,5,2522,2604,783,large,large
40,41,NoTr,12,2522,2604,1894,large,large
41,42,NoTr,10,2522,2604,2667,large,large
42,43,NoTr,13,2522,2604,981,large,large
43,44,Tr,23,2522,2604,1049,large,large
44,45,NoTr,13,2522,2604,676,large,large
45,46,Tr,12,2522,2604,1016,large,large
46,47,Tr,19,2522,2604,878,large,large
47,48,NoTr,24,2522,2604,347,large,large
48,49,NoTr,7,2522,2604,1570,large,large
49,50,NoTr,24,2522,2604,1225,large,large
50,51,NoTr,6,2522,2604,2234,large,large
51,52,Tr,11,2522,2604,1742,large,large
52,53,NoTr,11,2522,2604,2623,large,large
53,54,NoTr,7,2522,2604,2733,large,large
54,55,NoTr,1,1,1,60,small,small
55,56,Tr,27,2522,2604,62,large,large
56,57,NoTr,19,2522,2604,1544,large,large
57,58,NoTr,3,2522,2604,2065,large,large
58,59,NoTr,3,2522,2604,190,large,large
59,60,NoTr,15,2522,2604,585,large,large
60,61,NoTr,26,2522,2604,545,large,large
61,62,NoTr,19,2522,2604,881,large,large
62,63,NoTr,18,2522,2604,1482,large,large
63,64,Tr,22,2522,2604,22,large,large
64,65,Tr,25,2522,2604,548,large,large
65,66,NoTr,12,2522,2604,175,large,large
66,67,NoTr,27,2522,2604,1541,large,large
67,68,NoTr,23,2522,2604,317,large,large
68,69,NoTr,14,2522,2604,1704,large,large
69,70,Tr,16,2522,2604,1849,large,large
70,71,NoTr,19,2522,2604,1103,large,large
71,72,Tr,10,2522,2604,1506,large,large
72,73,Tr,25,2522,2604,1235,large,large
73,74,NoTr,9,2522,2604,1385,large,large
74,75,NoTr,9,2522,2604,1699,large,large
75,76,Tr,12,2522,2604,2413,large,large
76,77,NoTr,4,2522,2604,2513,large,large
77,78,NoTr,12,2522,2604,51,large,large
78,79,NoTr,10,2522,2604,1562,large,large
79,80,NoTr,4,2,2,8,small,small
80,81,NoTr,12,2522,2604,9,large,large
81,82,NoTr,8,2522,2604,10,large,large
82,83,NoTr,1,2,2,11,small,small
83,84,NoTr,13,2522,2604,12,large,large
84,85,NoTr,11,2522,2604,1027,large,large
85,86,Tr,27,2522,2604,400,large,large
86,87,Tr,20,2522,2604,842,large,large
87,88,NoTr,5,2522,2604,2137,large,large
88,89,Tr,2,1,2604,2138,small,large
89,90,Tr,18,2522,2604,1220,large,large
90,91,NoTr,13,2522,2604,829,large,large
91,92,NoTr,10,2522,2604,1416,large,large
92,93,NoTr,34,2522,2604,916,large,large
93,94,NoTr,7,2522,2604,176,large,large
94,95,NoTr,14,2522,2604,1237,large,large
95,96,Tr,16,2522,2604,102,large,large
96,97,NoTr,17,2522,2604,649,large,large
97,98,NoTr,9,2522,2604,2509,large,large
98,99,NoTr,21,2522,2604,1512,large,large
99,100,Tr,13,2522,2604,1232,large,large
100,101,Tr,18,2522,2604,1725,large,large
101,102,NoTr,13,2522,2604,697,large,large
102,103,Tr,20,2522,2604,1511,large,large
103,104,NoTr,1,1,1,2316,small,small
104,105,NoTr,6,2522,2604,1930,large,large
105,106,NoTr,10,2522,2604,1909,large,large
106,107,NoTr,19,2522,2604,336,large,large
107,108,Tr,14,2522,2604,852,large,large
108,109,Tr,13,2522,2604,594,large,large
109,110,Tr,7,2522,2604,713,large,large
110,111,Tr,20,2522,2604,459,large,large
111,112,Tr,24,2522,2604,606,large,large
112,113,NoTr,16,2522,2604,308,large,large
113,114,NoTr,7,2522,2604,13,large,large
