,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
0,1,1,black,age.gp3,NoTr,Trade,NoGroup,6,1,1,3,1,3,3,0,2,4,0,6,4,2
16,17,17,black,age.gp2,Tr,NoTrade,Group,16,0,8,6,2,8,8,0,5,11,2,14,12,4
1003,1004,1004,white,age.gp1,Tr,NoTrade,Group,21,12,4,2,3,1,12,8,5,16,3,18,11,10
1064,1065,1065,white,age.gp4,NoTr,NoTrade,Group,8,0,4,3,1,1,6,1,3,5,1,7,4,4
1391,1392,1392,black,age.gp3,NoTr,NoTrade,NoGroup,6,3,1,2,0,5,1,0,1,5,3,3,2,4
1395,1396,1396,black,age.gp3,NoTr,NoTrade,NoGroup,5,1,2,2,0,3,1,1,1,4,2,3,2,3
1867,1868,1868,white,age.gp3,NoTr,NoTrade,Group,22,1,5,10,6,3,18,1,6,16,4,18,16,6
1,2,2,black,age.gp3,NoTr,Trade,NoGroup,4,1,2,0,1,1,3,0,0,4,0,4,0,4
459,460,460,white,age.gp1,NoTr,NoTrade,NoGroup,12,5,3,2,2,2,8,2,4,8,2,10,5,7
780,781,781,white,age.gp2,NoTr,NoTrade,NoGroup,8,1,3,1,3,4,4,0,3,5,3,5,6,2
2025,2026,2026,black,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,1,0,1,0,0,0,1,1,0,0,1
2315,2316,2316,white,age.gp2,NoTr,NoTrade,NoGroup,13,2,6,3,2,1,9,3,7,6,3,10,10,3
2,3,3,black,age.gp3,NoTr,Trade,NoGroup,7,1,2,2,2,2,5,0,4,3,0,7,4,3
92,93,93,white,age.gp3,NoTr,NoTrade,Group,17,4,2,9,2,2,14,1,6,11,3,14,10,7
245,246,246,white,age.gp2,Tr,NoTrade,Group,25,3,6,5,11,1,22,2,5,20,4,21,18,7
787,788,788,black,age.gp1,Tr,NoTrade,NoGroup,15,9,1,2,3,6,5,4,3,12,3,12,6,9
956,957,957,black,age.gp2,Tr,NoTrade,NoGroup,10,3,4,1,2,4,6,0,2,8,1,9,6,4
1337,1338,1338,white,age.gp3,NoTr,NoTrade,NoGroup,10,0,4,3,3,1,8,1,3,7,2,8,8,2
1953,1954,1954,white,age.gp4,NoTr,NoTrade,Group,7,2,1,1,3,1,6,0,1,6,1,6,1,6
2057,2058,2058,white,age.gp4,Tr,NoTrade,Group,12,2,1,3,6,2,8,2,4,8,2,10,5,7
3,4,4,black,age.gp3,NoTr,Trade,NoGroup,5,0,2,3,0,3,2,0,3,2,1,4,3,2
409,410,410,white,age.gp2,Tr,Trade,Group,22,2,7,12,1,4,16,2,7,15,2,20,13,9
515,516,516,black,age.gp3,NoTr,NoTrade,NoGroup,5,0,3,1,1,2,2,1,3,2,2,3,2,3
516,517,517,black,age.gp3,NoTr,NoTrade,NoGroup,6,0,4,2,0,3,2,1,4,2,1,5,3,3
1733,1734,1734,white,age.gp3,Tr,NoTrade,Group,23,4,10,5,4,4,17,2,4,19,5,18,16,7
2368,2369,2369,black,age.gp2,Tr,NoTrade,Group,22,4,5,8,5,11,11,0,8,14,2,20,4,18
4,5,5,black,age.gp3,NoTr,Trade,NoGroup,10,0,3,3,4,4,6,0,2,8,2,8,5,5
96,97,97,white,age.gp3,NoTr,NoTrade,Group,18,2,7,8,1,4,13,1,11,7,1,17,12,6
191,192,192,white,age.gp2,Tr,NoTrade,NoGroup,12,0,6,3,3,1,9,2,2,10,1,11,6,6
443,444,444,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,3,3,1,2,5,0,3,4,1,6,6,1
471,472,472,black,age.gp3,NoTr,Trade,Group,12,2,4,5,1,5,4,3,3,9,1,11,7,5
479,480,480,black,age.gp4,NoTr,NoTrade,NoGroup,5,0,1,2,2,3,2,0,0,5,1,4,1,4
951,952,952,white,age.gp3,Tr,NoTrade,Group,19,2,8,6,3,5,11,3,6,13,1,18,11,8
1537,1538,1538,black,age.gp4,NoTr,NoTrade,NoGroup,8,0,4,3,1,4,3,1,3,5,2,6,6,2
2235,2236,2236,black,age.gp4,NoTr,Trade,Group,10,1,1,5,3,8,2,0,1,9,3,7,4,6
2661,2662,2662,white,age.gp2,NoTr,NoTrade,Group,29,1,14,8,6,5,23,1,13,16,3,26,22,7
2798,2799,2799,white,age.gp2,NoTr,NoTrade,NoGroup,10,0,4,2,4,1,8,1,5,5,1,9,7,3
5,6,6,black,age.gp3,NoTr,Trade,NoGroup,7,0,3,4,0,5,2,0,0,7,2,5,3,4
456,457,457,black,age.gp3,NoTr,NoTrade,NoGroup,3,0,1,2,0,2,1,0,1,2,1,2,1,2
1103,1104,1104,black,age.gp2,NoTr,NoTrade,NoGroup,6,2,1,3,0,5,1,0,2,4,4,2,3,3
2390,2391,2391,black,age.gp2,NoTr,NoTrade,NoGroup,9,0,3,4,2,7,2,0,1,8,2,7,3,6
2418,2419,2419,white,age.gp3,NoTr,Trade,Group,13,2,5,3,3,1,11,1,3,10,2,11,7,6
2423,2424,2424,white,age.gp3,NoTr,Trade,Group,17,3,5,6,3,3,12,2,2,15,1,16,9,8
2609,2610,2610,black,age.gp2,NoTr,NoTrade,Group,24,1,10,10,3,13,11,0,7,17,6,18,12,12
2731,2732,2732,black,age.gp3,NoTr,NoTrade,NoGroup,2,0,0,2,0,2,0,0,0,2,1,1,1,1
6,7,7,black,age.gp3,NoTr,Trade,NoGroup,9,2,2,5,0,4,4,1,1,8,3,6,5,4
181,182,182,white,age.gp3,Tr,NoTrade,NoGroup,14,3,5,2,4,1,9,4,4,10,2,12,6,8
467,468,468,black,age.gp3,NoTr,Trade,Group,12,2,3,4,3,7,3,2,1,11,3,9,8,4
639,640,640,other,age.gp1,NoTr,Trade,Group,6,2,0,2,2,1,5,0,0,6,2,4,2,4
2421,2422,2422,white,age.gp3,NoTr,Trade,Group,18,4,3,7,4,4,13,1,6,12,3,15,9,9
2756,2757,2757,white,age.gp3,NoTr,NoTrade,NoGroup,12,1,4,6,1,1,10,1,4,8,1,11,7,5
2834,2835,2835,black,age.gp2,NoTr,NoTrade,NoGroup,10,1,4,1,4,7,3,0,2,8,3,7,4,6
2852,2853,2853,black,age.gp3,NoTr,NoTrade,Group,15,1,3,7,4,7,7,1,2,13,2,13,7,8
2973,2974,2974,white,age.gp1,NoTr,NoTrade,Group,20,10,2,4,4,3,14,3,6,14,3,17,10,10
7,8,8,black,age.gp3,NoTr,Trade,NoGroup,4,1,2,1,0,4,0,0,2,2,0,4,3,1
15,16,16,black,age.gp2,Tr,NoTrade,Group,14,1,6,4,3,10,4,0,3,11,3,11,10,4
784,785,785,black,age.gp1,Tr,NoTrade,NoGroup,17,7,3,4,3,12,4,1,4,13,4,13,5,12
964,965,965,black,age.gp2,NoTr,NoTrade,Group,16,2,3,10,1,7,6,3,4,12,3,13,8,8
2853,2854,2854,black,age.gp3,NoTr,NoTrade,Group,14,2,5,4,3,6,7,1,3,11,1,13,9,5
8,9,9,black,age.gp3,NoTr,Trade,NoGroup,1,0,0,1,0,1,0,0,0,1,0,1,0,1
9,10,10,black,age.gp3,NoTr,Trade,NoGroup,3,1,2,0,0,2,0,1,1,2,0,3,2,1
18,19,19,black,age.gp2,Tr,NoTrade,Group,27,5,9,6,7,14,12,1,5,22,5,22,13,14
1415,1416,1416,black,age.gp2,NoTr,NoTrade,NoGroup,10,1,4,3,2,6,4,0,2,8,2,8,3,7
1870,1871,1871,other,age.gp1,NoTr,NoTrade,Group,11,4,3,3,1,1,10,0,5,6,3,8,7,4
10,11,11,black,age.gp3,NoTr,Trade,NoGroup,5,1,1,2,1,4,1,0,0,5,1,4,1,4
446,447,447,black,age.gp3,NoTr,NoTrade,NoGroup,7,1,1,3,2,5,2,0,1,6,1,6,3,4
887,888,888,white,age.gp3,NoTr,Trade,Group,13,1,4,4,4,2,11,0,4,9,1,12,11,2
1477,1478,1478,black,age.gp1,NoTr,NoTrade,NoGroup,6,3,0,2,1,2,3,1,3,3,1,5,1,5
1747,1748,1748,black,age.gp4,NoTr,NoTrade,NoGroup,6,0,1,2,3,2,4,0,2,4,1,5,2,4
2165,2166,2166,black,age.gp2,NoTr,NoTrade,NoGroup,7,1,4,1,1,3,2,2,1,6,1,6,4,3
11,12,12,black,age.gp3,NoTr,Trade,NoGroup,4,1,0,3,0,3,1,0,0,4,1,3,3,1
463,464,464,black,age.gp3,NoTr,Trade,Group,13,0,7,3,3,8,4,1,2,11,3,10,8,5
1452,1453,1453,black,age.gp1,NoTr,NoTrade,NoGroup,10,2,1,4,3,4,5,1,3,7,2,8,6,4
1859,1860,1860,white,age.gp3,NoTr,NoTrade,Group,12,0,5,5,2,1,10,1,3,9,2,10,9,3
2847,2848,2848,black,age.gp3,NoTr,NoTrade,Group,14,0,3,6,5,9,5,0,2,12,3,11,6,8
12,13,13,black,age.gp3,NoTr,Trade,NoGroup,1,0,1,0,0,1,0,0,0,1,0,1,0,1
227,228,228,black,age.gp2,NoTr,NoTrade,NoGroup,14,1,7,2,4,8,6,0,6,8,2,12,9,5
