"","X","comm","size","n_trt","prop","net"
"1",0,1,2478,624,0.252,1
"2",1,2,5,2,0.4,1
"3",2,3,3,2,0.667,1
"4",3,4,3,2,0.667,1
"5",4,5,3,2,0.667,1
"6",5,6,2,2,1,1
"7",6,7,2,2,1,1
"8",7,8,2,2,1,1
"9",8,9,2,2,1,1
"10",9,10,2,2,1,1
"11",10,11,2,2,1,1
"12",11,13,4,1,0.25,1
"13",12,14,4,1,0.25,1
"14",13,15,3,1,0.333,1
"15",14,16,3,1,0.333,1
"16",15,17,2,1,0.5,1
"17",16,18,2,1,0.5,1
"18",17,19,2,1,0.5,1
"19",18,20,2,1,0.5,1
"20",19,21,2,1,0.5,1
"21",20,22,2,1,0.5,1
"22",21,23,2,1,0.5,1
"23",22,24,2,1,0.5,1
"24",23,25,2,1,0.5,1
"25",24,26,2,1,0.5,1
"26",25,27,2,1,0.5,1
"27",26,28,2,1,0.5,1
"28",27,29,2,1,0.5,1
"29",28,31,2,1,0.5,1
"30",29,32,1,1,1,1
"31",30,33,1,1,1,1
"32",31,34,1,1,1,1
"33",32,35,1,1,1,1
"34",33,36,1,1,1,1
"35",34,37,1,1,1,1
"36",35,38,1,1,1,1
"37",36,39,1,1,1,1
"38",37,40,1,1,1,1
"39",38,41,1,1,1,1
"40",39,42,1,1,1,1
"41",40,43,1,1,1,1
"42",41,44,1,1,1,1
"43",42,45,1,1,1,1
"44",43,46,1,1,1,1
"45",44,47,1,1,1,1
"46",45,48,1,1,1,1
"47",46,49,1,1,1,1
"48",47,50,1,1,1,1
"49",48,51,1,1,1,1
"50",49,52,1,1,1,1
"51",50,53,1,1,1,1
"52",51,54,1,1,1,1
"53",52,55,1,1,1,1
"54",53,56,1,1,1,1
"55",54,57,1,1,1,1
"56",55,58,1,1,1,1
"57",56,59,1,1,1,1
"58",57,60,1,1,1,1
"59",58,61,1,1,1,1
"60",59,62,1,1,1,1
"61",60,63,1,1,1,1
"62",61,64,1,1,1,1
"63",62,65,1,1,1,1
"64",63,66,1,1,1,1
"65",64,67,1,1,1,1
"66",65,68,1,1,1,1
"67",66,69,1,1,1,1
"68",67,70,1,1,1,1
"69",68,71,1,1,1,1
"70",69,72,1,1,1,1
"71",70,73,1,1,1,1
"72",71,74,1,1,1,1
"73",72,75,1,1,1,1
"74",73,76,1,1,1,1
"75",74,77,1,1,1,1
"76",75,78,1,1,1,1
"77",76,116,3,0,0,1
"78",77,118,3,0,0,1
"79",78,138,2,0,0,1
"80",0,1,2522,651,0.258,2
"81",1,2,7,2,0.286,2
"82",2,3,4,2,0.5,2
"83",3,5,4,1,0.25,2
"84",4,6,3,1,0.333,2
"85",5,9,2,1,0.5,2
"86",6,10,2,1,0.5,2
"87",7,11,2,1,0.5,2
"88",8,12,2,1,0.5,2
"89",9,13,2,1,0.5,2
"90",10,14,2,1,0.5,2
"91",11,15,2,1,0.5,2
"92",12,16,2,1,0.5,2
"93",13,17,2,1,0.5,2
"94",14,18,2,1,0.5,2
"95",15,19,2,1,0.5,2
"96",16,20,2,1,0.5,2
"97",17,21,2,1,0.5,2
"98",18,22,2,1,0.5,2
"99",19,23,2,1,0.5,2
"100",20,24,2,1,0.5,2
"101",21,25,2,1,0.5,2
"102",22,26,2,1,0.5,2
"103",23,43,1,1,1,2
"104",24,44,1,1,1,2
"105",25,45,1,1,1,2
"106",26,46,1,1,1,2
"107",27,47,1,1,1,2
"108",28,48,1,1,1,2
"109",29,49,1,1,1,2
"110",30,50,1,1,1,2
"111",31,51,1,1,1,2
"112",32,52,1,1,1,2
"113",33,53,1,1,1,2
"114",34,54,1,1,1,2
"115",35,55,1,1,1,2
"116",36,56,1,1,1,2
"117",37,57,1,1,1,2
"118",38,58,1,1,1,2
"119",39,59,1,1,1,2
"120",40,60,1,1,1,2
"121",41,61,1,1,1,2
"122",42,62,1,1,1,2
"123",43,63,1,1,1,2
"124",44,64,1,1,1,2
"125",45,65,1,1,1,2
"126",46,66,1,1,1,2
"127",47,67,1,1,1,2
"128",48,68,1,1,1,2
"129",49,69,1,1,1,2
"130",50,70,1,1,1,2
"131",51,71,1,1,1,2
"132",52,72,1,1,1,2
"133",53,73,1,1,1,2
"134",54,74,1,1,1,2
"135",55,75,1,1,1,2
"136",56,76,1,1,1,2
"137",57,77,1,1,1,2
"138",58,78,1,1,1,2
"139",59,79,1,1,1,2
"140",60,80,1,1,1,2
"141",61,81,1,1,1,2
"142",62,82,1,1,1,2
"143",63,83,1,1,1,2
"144",64,84,1,1,1,2
"145",65,85,1,1,1,2
"146",66,86,1,1,1,2
"147",67,87,1,1,1,2
"148",68,88,1,1,1,2
"149",69,107,2,0,0,2
"150",70,110,2,0,0,2
