"","X","Unnamed..0","node","ethcat","agecat","treat","Trade_sex","Group_sex","degree","age.gp1","age.gp2","age.gp3","age.gp4","black","white","other","Tr","NoTr","Trade","NoTrade","Group","NoGroup","net"
"1",0,1,1,"black","age.gp3","NoTr","Trade","NoGroup",6,0,3,2,1,1,5,0,2,4,1,5,4,2,1
"2",970,971,971,"white","age.gp2","Tr","NoTrade","Group",26,1,13,8,4,4,20,2,6,20,6,20,16,10,1
"3",2411,2412,2412,"white","age.gp3","NoTr","Trade","Group",12,4,3,3,2,3,8,1,6,6,3,9,4,8,1
"4",2694,2695,2695,"white","age.gp4","NoTr","NoTrade","Group",14,0,1,5,8,2,12,0,6,8,1,13,8,6,1
"5",2729,2730,2730,"black","age.gp3","NoTr","NoTrade","NoGroup",8,1,4,1,2,7,0,1,0,8,1,7,2,6,1
"6",2840,2841,2841,"white","age.gp2","Tr","NoTrade","Group",31,3,15,6,7,4,24,3,6,25,4,27,15,16,1
"7",2964,2965,2965,"white","age.gp2","NoTr","NoTrade","NoGroup",12,0,5,4,3,2,9,1,5,7,1,11,7,5,1
"8",1,2,2,"black","age.gp3","NoTr","Trade","NoGroup",8,0,4,2,2,4,2,2,3,5,2,6,4,4,1
"9",212,213,213,"other","age.gp2","Tr","NoTrade","NoGroup",3,2,0,1,0,1,2,0,1,2,1,2,0,3,1
"10",223,224,224,"black","age.gp2","NoTr","NoTrade","NoGroup",9,1,4,2,2,5,4,0,1,8,2,7,6,3,1
"11",2212,2213,2213,"black","age.gp4","NoTr","Trade","Group",8,0,3,2,3,5,3,0,3,5,1,7,4,4,1
"12",2217,2218,2218,"black","age.gp4","NoTr","Trade","Group",9,0,2,2,5,5,4,0,2,7,3,6,6,3,1
"13",2288,2289,2289,"other","age.gp2","Tr","NoTrade","Group",12,2,4,5,1,3,9,0,4,8,2,10,6,6,1
"14",2363,2364,2364,"white","age.gp3","Tr","NoTrade","NoGroup",8,1,4,3,0,3,4,1,2,6,3,5,4,4,1
"15",2658,2659,2659,"white","age.gp2","NoTr","NoTrade","Group",29,1,15,7,6,5,22,2,11,18,1,28,15,14,1
"16",2690,2691,2691,"black","age.gp3","NoTr","NoTrade","NoGroup",3,1,0,1,1,2,1,0,0,3,1,2,1,2,1
"17",2,3,3,"black","age.gp3","NoTr","Trade","NoGroup",9,0,3,2,4,5,4,0,3,6,1,8,3,6,1
"18",17,18,18,"black","age.gp2","Tr","NoTrade","Group",17,2,5,6,4,9,5,3,4,13,2,15,10,7,1
"19",239,240,240,"white","age.gp2","Tr","NoTrade","Group",20,2,10,4,4,4,11,5,7,13,3,17,10,10,1
"20",517,518,518,"black","age.gp3","NoTr","NoTrade","NoGroup",8,2,1,3,2,7,1,0,2,6,1,7,2,6,1
"21",1270,1271,1271,"black","age.gp3","NoTr","NoTrade","NoGroup",5,0,0,2,3,3,2,0,1,4,2,3,2,3,1
"22",1482,1483,1483,"white","age.gp4","NoTr","NoTrade","NoGroup",4,0,1,3,0,1,3,0,1,3,1,3,1,3,1
"23",1528,1529,1529,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,0,1,4,3,2,0,0,5,1,4,3,2,1
"24",1696,1697,1697,"white","age.gp4","NoTr","Trade","NoGroup",9,0,2,3,4,1,7,1,4,5,1,8,4,5,1
"25",2269,2270,2270,"white","age.gp4","Tr","NoTrade","Group",11,0,3,2,6,1,9,1,3,8,2,9,7,4,1
"26",2836,2837,2837,"black","age.gp2","NoTr","NoTrade","NoGroup",13,0,5,5,3,7,5,1,4,9,1,12,5,8,1
"27",3,4,4,"black","age.gp3","NoTr","Trade","NoGroup",5,0,1,2,2,2,2,1,1,4,0,5,3,2,1
"28",1367,1368,1368,"black","age.gp4","NoTr","NoTrade","Group",5,0,0,2,3,2,3,0,1,4,1,4,3,2,1
"29",2050,2051,2051,"white","age.gp4","Tr","NoTrade","Group",11,2,2,1,6,1,10,0,2,9,1,10,7,4,1
"30",2131,2132,2132,"white","age.gp3","NoTr","NoTrade","Group",18,2,5,7,4,3,14,1,9,9,1,17,9,9,1
"31",2158,2159,2159,"other","age.gp2","NoTr","NoTrade","NoGroup",3,1,1,1,0,2,1,0,0,3,1,2,1,2,1
"32",2685,2686,2686,"black","age.gp3","NoTr","NoTrade","NoGroup",6,0,0,3,3,4,2,0,2,4,2,4,4,2,1
"33",4,5,5,"black","age.gp3","NoTr","Trade","NoGroup",2,0,0,2,0,1,1,0,0,2,0,2,1,1,1
"34",102,103,103,"white","age.gp3","NoTr","NoTrade","Group",20,4,3,9,4,8,12,0,4,16,3,17,9,11,1
"35",457,458,458,"black","age.gp3","NoTr","NoTrade","NoGroup",6,0,0,5,1,4,2,0,0,6,1,5,2,4,1
"36",5,6,6,"black","age.gp3","NoTr","Trade","NoGroup",8,1,5,1,1,3,4,1,3,5,0,8,2,6,1
"37",54,55,55,"black","age.gp2","NoTr","NoTrade","NoGroup",7,1,2,2,2,4,3,0,1,6,1,6,2,5,1
"38",342,343,343,"white","age.gp2","NoTr","NoTrade","Group",18,1,8,7,2,1,15,2,10,8,1,17,11,7,1
"39",1377,1378,1378,"black","age.gp2","NoTr","NoTrade","NoGroup",10,0,4,3,3,8,2,0,2,8,2,8,5,5,1
"40",1723,1724,1724,"white","age.gp1","Tr","NoTrade","NoGroup",12,5,1,4,2,1,9,2,2,10,2,10,5,7,1
"41",1815,1816,1816,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,1,0,0,1,1
"42",2292,2293,2293,"other","age.gp2","Tr","NoTrade","Group",9,1,3,5,0,1,8,0,2,7,2,7,6,3,1
"43",2748,2749,2749,"white","age.gp3","NoTr","NoTrade","NoGroup",8,2,3,3,0,2,6,0,3,5,1,7,4,4,1
"44",2796,2797,2797,"white","age.gp2","Tr","NoTrade","NoGroup",7,2,2,1,2,1,5,1,2,5,1,6,3,4,1
"45",6,7,7,"black","age.gp3","NoTr","Trade","NoGroup",8,0,5,2,1,7,1,0,1,7,0,8,4,4,1
"46",290,291,291,"black","age.gp2","NoTr","NoTrade","Group",19,2,3,7,7,13,6,0,5,14,3,16,8,11,1
"47",398,399,399,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,1,3,2,3,0,1,4,1,4,3,2,1
"48",963,964,964,"black","age.gp2","NoTr","NoTrade","Group",19,3,8,4,4,8,8,3,4,15,5,14,12,7,1
"49",1391,1392,1392,"black","age.gp3","NoTr","NoTrade","NoGroup",8,1,3,3,1,3,4,1,3,5,3,5,5,3,1
"50",1844,1845,1845,"black","age.gp3","NoTr","NoTrade","NoGroup",3,0,0,3,0,2,1,0,0,3,2,1,1,2,1
"51",2163,2164,2164,"white","age.gp2","Tr","NoTrade","NoGroup",20,3,8,6,3,2,16,2,6,14,1,19,8,12,1
"52",2347,2348,2348,"black","age.gp2","NoTr","NoTrade","Group",26,2,15,5,4,12,12,2,8,18,5,21,17,9,1
"53",2605,2606,2606,"black","age.gp2","NoTr","NoTrade","Group",20,1,8,5,6,10,8,2,5,15,2,18,8,12,1
"54",7,8,8,"black","age.gp3","NoTr","Trade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,0,1,1
"55",2731,2732,2732,"black","age.gp3","NoTr","NoTrade","NoGroup",7,0,2,3,2,5,2,0,2,5,1,6,1,6,1
"56",8,9,9,"black","age.gp3","NoTr","Trade","NoGroup",11,0,4,4,3,9,2,0,3,8,1,10,7,4,1
"57",16,17,17,"black","age.gp2","Tr","NoTrade","Group",26,6,10,7,3,16,8,2,8,18,6,20,14,12,1
"58",452,453,453,"black","age.gp3","NoTr","NoTrade","NoGroup",6,0,2,3,1,4,2,0,1,5,1,5,4,2,1
"59",484,485,485,"black","age.gp4","NoTr","NoTrade","NoGroup",6,0,2,2,2,3,2,1,1,5,1,5,2,4,1
"60",1249,1250,1250,"white","age.gp2","Tr","NoTrade","Group",27,1,11,7,8,6,19,2,7,20,1,26,14,13,1
"61",1373,1374,1374,"black","age.gp4","NoTr","NoTrade","Group",13,1,3,5,4,9,3,1,1,12,2,11,4,9,1
"62",1417,1418,1418,"black","age.gp2","NoTr","NoTrade","NoGroup",10,1,5,4,0,6,4,0,3,7,2,8,4,6,1
"63",2075,2076,2076,"black","age.gp3","NoTr","NoTrade","NoGroup",9,0,3,2,4,6,3,0,2,7,1,8,5,4,1
"64",2235,2236,2236,"black","age.gp4","NoTr","Trade","Group",8,0,0,4,4,7,1,0,1,7,2,6,3,5,1
"65",2365,2366,2366,"black","age.gp2","Tr","NoTrade","Group",14,1,8,4,1,8,3,3,2,12,4,10,8,6,1
"66",2594,2595,2595,"white","age.gp3","NoTr","NoTrade","Group",13,3,5,3,2,1,10,2,3,10,3,10,11,2,1
"67",2847,2848,2848,"black","age.gp3","NoTr","NoTrade","Group",13,1,1,6,5,6,7,0,2,11,1,12,7,6,1
"68",9,10,10,"black","age.gp3","NoTr","Trade","NoGroup",4,0,1,2,1,1,3,0,1,3,0,4,3,1,1
"69",81,82,82,"white","age.gp4","NoTr","NoTrade","Group",12,1,3,3,5,2,10,0,4,8,1,11,8,4,1
"70",2366,2367,2367,"black","age.gp2","Tr","NoTrade","Group",18,1,8,5,4,8,10,0,6,12,3,15,10,8,1
