"","degree","n","Percent"
"1",1,25,0.10593
"2",2,24,0.10169
"3",3,22,0.09322
"4",4,19,0.08051
"5",5,16,0.0678
"6",6,23,0.09746
"7",7,7,0.02966
"8",8,12,0.05085
"9",9,9,0.03814
"10",10,5,0.02119
"11",11,7,0.02966
"12",12,7,0.02966
"13",13,4,0.01695
"14",14,6,0.02542
"15",15,3,0.01271
"16",16,5,0.02119
"17",17,2,0.00847
"18",18,3,0.01271
"19",19,6,0.02542
"20",20,1,0.00424
"21",21,1,0.00424
"22",23,1,0.00424
"23",24,2,0.00847
"24",26,1,0.00424
"25",27,3,0.01271
"26",28,2,0.00847
"27",30,1,0.00424
"28",33,1,0.00424
"29",34,2,0.00847
"30",35,1,0.00424
"31",36,1,0.00424
"32",37,2,0.00847
"33",40,2,0.00847
"34",42,1,0.00424
"35",43,2,0.00847
"36",46,3,0.01271
"37",52,1,0.00424
"38",56,1,0.00424
"39",61,1,0.00424
"40",62,1,0.00424
