"","node","ethcat","agecat","treat","Trade_sex","Group_sex","degree","age.gp1","age.gp2","age.gp3","age.gp4","black","white","other","Tr","NoTr","Trade","NoTrade","Group","NoGroup"
"1",1,"black","age.gp3","NoTr","Trade","NoGroup",6,0,3,2,1,1,5,0,2,4,1,5,4,2
"2",2,"black","age.gp3","NoTr","Trade","NoGroup",8,0,4,2,2,4,2,2,3,5,2,6,4,4
"3",3,"black","age.gp3","NoTr","Trade","NoGroup",9,0,3,2,4,5,4,0,3,6,1,8,3,6
"4",4,"black","age.gp3","NoTr","Trade","NoGroup",5,0,1,2,2,2,2,1,1,4,0,5,3,2
"5",5,"black","age.gp3","NoTr","Trade","NoGroup",2,0,0,2,0,1,1,0,0,2,0,2,1,1
"6",6,"black","age.gp3","NoTr","Trade","NoGroup",8,1,5,1,1,3,4,1,3,5,0,8,2,6
"7",7,"black","age.gp3","NoTr","Trade","NoGroup",8,0,5,2,1,7,1,0,1,7,0,8,4,4
"8",8,"black","age.gp3","NoTr","Trade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,0,1
"9",9,"black","age.gp3","NoTr","Trade","NoGroup",11,0,4,4,3,9,2,0,3,8,1,10,7,4
"10",10,"black","age.gp3","NoTr","Trade","NoGroup",4,0,1,2,1,1,3,0,1,3,0,4,3,1
"11",11,"black","age.gp3","NoTr","Trade","NoGroup",9,1,1,2,5,7,2,0,3,6,0,9,4,5
"12",12,"black","age.gp3","NoTr","Trade","NoGroup",3,0,1,1,1,2,1,0,1,2,0,3,2,1
"13",13,"black","age.gp3","NoTr","Trade","NoGroup",6,1,2,2,1,4,2,0,1,5,1,5,3,3
"14",14,"black","age.gp3","NoTr","Trade","NoGroup",9,0,2,1,6,3,5,1,1,8,0,9,7,2
"15",15,"black","age.gp2","Tr","NoTrade","Group",19,1,11,5,2,13,6,0,2,17,2,17,8,11
"16",16,"black","age.gp2","Tr","NoTrade","Group",29,0,14,9,6,15,12,2,7,22,4,25,18,11
"17",17,"black","age.gp2","Tr","NoTrade","Group",26,6,10,7,3,16,8,2,8,18,6,20,14,12
"18",18,"black","age.gp2","Tr","NoTrade","Group",17,2,5,6,4,9,5,3,4,13,2,15,10,7
"19",19,"black","age.gp2","Tr","NoTrade","Group",19,0,6,7,6,12,7,0,2,17,4,15,13,6
"20",20,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,1,0
"21",21,"black","age.gp4","NoTr","Trade","NoGroup",1,0,1,0,0,0,1,0,0,1,0,1,1,0
"22",22,"black","age.gp4","NoTr","Trade","NoGroup",4,1,0,1,2,2,2,0,2,2,1,3,3,1
"23",23,"black","age.gp4","NoTr","Trade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1
