"","V1","V2"
"1",1,17
"2",1,1004
"3",1,1065
"4",1,1392
"5",1,1396
"6",1,1868
"7",2,460
"8",2,781
"9",2,2026
"10",2,2316
"11",3,93
"12",3,246
"13",3,788
"14",3,957
"15",3,1338
"16",3,1954
"17",3,2058
"18",4,410
"19",4,516
"20",4,517
"21",4,1734
"22",4,2369
"23",5,97
"24",5,192
"25",5,444
"26",5,472
"27",5,480
"28",5,952
"29",5,1538
"30",5,2236
"31",5,2662
"32",5,2799
"33",6,457
"34",6,1104
"35",6,2391
"36",6,2419
"37",6,2424
"38",6,2610
"39",6,2732
"40",7,182
"41",7,468
"42",7,640
"43",7,1104
"44",7,2422
"45",7,2757
"46",7,2835
"47",7,2853
"48",7,2974
"49",8,16
"50",8,785
"51",8,965
"52",8,2854
"53",9,1396
"54",10,19
"55",10,1416
"56",10,1871
"57",11,447
"58",11,888
"59",11,1478
"60",11,1748
"61",11,2166
"62",12,464
"63",12,1453
"64",12,1860
"65",12,2848
"66",13,228
"67",14,465
"68",14,1534
"69",14,1595
"70",15,18
"71",15,293
"72",15,447
"73",15,465
"74",15,953
"75",15,1019
"76",15,1088
"77",15,1446
"78",15,1454
"79",15,1630
"80",15,2078
"81",15,2103
"82",15,2219
"83",15,2228
"84",15,2370
"85",15,2415
"86",15,2517
"87",15,2607
"88",15,2657
"89",15,2765
"90",16,17
"91",16,54
"92",16,231
"93",16,469
"94",16,728
"95",16,1091
"96",16,1346
"97",16,1365
"98",16,1391
"99",16,1407
"100",16,2210
"101",16,2526
"102",16,2608
"103",17,143
"104",17,228
"105",17,663
"106",17,966
"107",17,1250
"108",17,1561
"109",17,1588
"110",17,1719
"111",17,1811
"112",17,2068
"113",17,2086
"114",17,2278
"115",17,2528
"116",17,2851
"117",18,138
"118",18,283
"119",18,406
"120",18,458
"121",18,475
"122",18,661
"123",18,863
"124",18,866
"125",18,968
"126",18,1015
"127",18,1295
"128",18,1607
"129",18,1750
"130",18,1828
"131",18,1852
"132",18,2065
"133",18,2086
"134",18,2219
"135",18,2386
"136",18,2408
"137",18,2506
"138",18,2746
"139",18,2850
"140",19,265
"141",19,294
"142",19,434
"143",19,567
"144",19,707
"145",19,1244
"146",19,1250
"147",19,1260
"148",19,1353
"149",19,1396
"150",19,1428
"151",19,1595
"152",19,1721
"153",19,2219
"154",19,2229
"155",19,2412
"156",19,2459
"157",19,2461
"158",19,2655
"159",19,2678
"160",19,2682
"161",19,2716
"162",19,2790
"163",19,2839
"164",19,2865
"165",19,2888
"166",20,1937
"167",20,2369
"168",20,2846
"169",21,467
"170",21,870
"171",21,1374
"172",21,2217
"173",21,2660
"174",22,1072
"175",23,361
"176",23,397
"177",23,516
"178",23,1402
"179",23,1622
"180",23,1761
"181",23,2851
"182",23,2855
"183",24,965
"184",24,2207
"185",24,2320
"186",25,1868
"187",25,2736
"188",25,2850
"189",26,316
"190",26,2220
"191",26,2347
"192",27,227
"193",27,611
"194",27,948
"195",27,1322
"196",28,506
"197",28,705
"198",28,1355
"199",28,1798
"200",29,455
"201",29,505
"202",29,1364
"203",29,1528
"204",30,1530
"205",31,1767
"206",32,104
"207",32,2953
"208",33,371
"209",33,1417
"210",33,2239
"211",34,1251
"212",34,1584
"213",34,2072
"214",34,2947
"215",35,1061
"216",35,1723
"217",36,1359
"218",37,39
"219",37,1047
"220",37,1759
"221",37,1815
"222",37,2138
"223",37,2342
"224",37,2609
